title,source,url,json_content

How to download model_index.json from civitai?,Stack Overflow,N/A,"{""tags"": [""stable-diffusion"", ""image-generation""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 0, ""is_answered"": false, ""question_id"": 78976666, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1726121331, ""creation_date"": 1726121331, ""body"": ""I&#39;m new to this area,\nI have installed stable diffusion and then downloaded a model from civitai.com\nbut when i execute, i&#39;m getting error .\nWhich is expected but I can&#39;t find a  any model i click download, it download the .safetensor only (for example https://civitai.com/models/352581/vixons-pony-styles)\n\n"", ""excerpt"": ""Which is expected but I can&#39;t find a model_index.json any model i click download, it download the .<span class=\""highlight\"">safetensor</span> only (for example https://civitai.com/models/352581/vixons-pony-styles)\nfrom diffusers import &hellip; "", ""title"": ""How to download model_index.json from civitai?""}"

Quantize and fine-tune Llama 3.1 8B for Ollama,Stack Overflow,N/A,"{""tags"": [""huggingface-transformers"", ""quantization"", ""fine-tuning"", ""ollama"", ""llama3.1""], ""question_score"": 1, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 0, ""is_answered"": false, ""question_id"": 78922383, ""item_type"": ""question"", ""score"": 1, ""last_activity_date"": 1724835324, ""creation_date"": 1724835324, ""body"": ""I want to fine-tune locally the Meta&#39;s Llama 3.1 8B Instruct model with custom data and then save it in a format compatible with Ollama for further inference. As I do everything locally and don&#39;t have unlimited resources (24 GB VRAM), I need to quantize the model with the requirement that the safetensors should be in either in F16, F32 or BF16 dtype otherwise Ollama cannot parse them.\nI implemented the following code to fetch the base model from HF hub and fine tune it:\n\nAmong the things I tried are:\n\nConverting the model to GGUF format with llama.cpp but it crashes with the error ;\nDifferent values for  but it always saved the model with U8 tensors;\nRemoving the BitsAndBytes config and just put a  (Same with 4bits) in the  call, but then I have OOM errors on the GPU;\nManually reformat the tensors before merging or before saving the model with the code below:\n\n\nIt seems Ollama doesn&#39;t handle BitsAndBytes quantization according to their maintainers. However I&#39;m curious about how that could matter if the tensors are saved with the correct F16/F32/BF16 dtype.\nSo apart from BitsAndBytes, do you recommend any other standard framework that could work with Ollama requirements ?\n"", ""excerpt"": ""I want to fine-tune locally the Meta&#39;s Llama 3.1 8B Instruct model with custom data and then save it in a format compatible with Ollama for further inference. As I do everything locally and don&#39;t have &hellip; "", ""title"": ""Quantize and fine-tune Llama 3.1 8B for Ollama""}"

How to quantize safetensors model and save it to GGUF with less then q8_0 quntization?,Stack Overflow,N/A,"{""tags"": [""large-language-model"", ""quantization""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": true, ""answer_count"": 1, ""is_answered"": false, ""question_id"": 78842047, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1723602721, ""creation_date"": 1723011038, ""body"": ""I&#39;m developing LLM agents using llama.cpp as inference engine. Sometimes I want to use models in safetensors format and there is a python script (https://github.com/ggerganov/llama.cpp/blob/master/convert_hf_to_gguf.py) to convert.\nScript is awesome, but minimum number size is 8 bit (q8_0). Is there any other script or repo with other quantization formats?\n"", ""excerpt"": ""I&#39;m developing LLM agents using llama.cpp as inference engine. Sometimes I want to use models in safetensors format and there is a python script (https://github.com/ggerganov/llama.cpp/blob/master/con &hellip; "", ""title"": ""How to quantize safetensors model and save it to GGUF with less then q8_0 quntization?""}"

"Output images of my Stable Diffusion Fine tuning unchanged same? No difference after training. (Python, Diffusers)",Stack Overflow,N/A,"{""tags"": [""python"", ""stable-diffusion"", ""fine-tuning"", ""image-generation"", ""diffusers""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 0, ""is_answered"": false, ""question_id"": 78866361, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1723553049, ""creation_date"": 1723553049, ""body"": ""i am currently trying to finetune sd1.5 with python and i dont get any errors but my output test images are exactly the same (pixelcomparisson online with img2go), also i compared the .safetensors from the unet cmd: &quot;fc /b file1 file2&quot; and no changes were detected.\nmy idea for the dummy data was to just use the same image several times with the same description as a proof of concept. I then use exactly the same prompt to generate test images, hoping to see some resembelence to my dummy input image\nThe test image is just a 2seconds paint drawing of me and the description is &quot;ProofOfConceptForDummyData&quot; for each, just like the prompt that i use after training for the test iamge.\nAlso additionally one epoche takes 32min on my 4070GPU with 12GB. i know that the batch size ist just at 1 but increasing results in an error that the gpu memory is not enough.\n\nonly use a small number of images (less than 10) with a high learning rate to get fast results as proof of concept\ni tried to increase the learning rate to a very high value to get changes in images very fast so i dont need to train all night, but the results were unchanged\ni tried running it for 10 epochs, also without any luck\nExpected to see just any changes as a Proof of concept so i can continue with actual training.\n(changes in the model &amp; changes within the images, which should be the result of of model changes)\ncurrently i don&#39;t care about overfitting since i first want to get just any results as Proof of concept\n"", ""excerpt"": ""i am currently trying to finetune sd1.5 with python and i dont get any errors but my output test images are exactly the same (pixelcomparisson online with img2go), also i compared the .safetensors fro &hellip; "", ""title"": ""Output images of my Stable Diffusion Fine tuning unchanged same? No difference after training. (Python, Diffusers)""}"

Failure running Apple MLX lora.py on 13B llms,Stack Overflow,N/A,"{""tags"": [""large-language-model""], ""question_score"": 0, ""is_accepted"": false, ""answer_id"": 78860722, ""is_answered"": false, ""question_id"": 78248012, ""item_type"": ""answer"", ""score"": 0, ""last_activity_date"": 1723452265, ""creation_date"": 1723452265, ""body"": ""The config files (in the same folder as the model) need to be in sync with the model files. I encountered something similar to your error when my model and config files went out of sync. Clearing out the cache (just delete the files in .\\mlx-lm folder) helped bring back the 2 in sync. Coming to the question on why they are working for smaller models, here is speculation from my side based on my observations.\n\nLarge models are split into multiple files unlike smaller models\nWhen you (say)quantise, in case of a smaller model the model simply gets overwritten. In case of larger models the older files are retained due to a naming convention. So you have old as well as new model weights.\nThese additional files are caught by the glob.glob (find all model*.safetensor command) in one of the wrapper code. This additional data causes unpredictable behaviour (e.g. loading extra weights thru&#39; the model.load_weights(list(weights.items()))\nKeep a track of the models in the ./mlx-lm folder very closely and you will be able to understand the exact issue.\n\n"", ""excerpt"": ""These additional files are caught by the glob.glob (find all model*.<span class=\""highlight\"">safetensor</span> command) in one of the wrapper code. &hellip; "", ""title"": ""Failure running Apple MLX lora.py on 13B llms""}"
