repo_url,commit_hash,model_file_path,serialization_format,message,author,date
rinna/japanese-gpt-neox-small,f33d44540298e143079f34c35b21eebe4f3dce89,rinna/japanese-gpt-neox-small\model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (f0c7ae3c838380c2021bd57f4705e1ae80b83bcd)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Tianyu Zhao,2023-08-04 06:46:32
rinna/japanese-gpt-neox-small,d93a6e4cfd29b7a4cccc068c24f4afab9c218c45,rinna/japanese-gpt-neox-small\pytorch_model.bin,torch.save,* 2023/03/20 Update the model weight and config files such that it can be loaded via Huggingface's official GPT-NeoX implementation.,Tianyu Zhao,2023-03-20 04:00:35
rinna/japanese-gpt-neox-small,f3cdc9a0868ac3d6dbd8f7431f719dc07c5114e9,pytorch_model.bin,torch.save,init commit,Tianyu Zhao,2022-08-31 02:01:42
rinna/japanese-gpt-neox-small,f3cdc9a0868ac3d6dbd8f7431f719dc07c5114e9,spiece.model,ONNX,init commit,Tianyu Zhao,2022-08-31 02:01:42
Intel/roberta-base-squad2-int8-static-inc,79caea4b54eec88d1a75f641ecce4446aa8fd2a9,pytorch_model.bin,torch.save,upload int8 model.,"Lv, Kaokao",2022-08-30 05:25:59
Intel/roberta-base-squad2-int8-static-inc,79caea4b54eec88d1a75f641ecce4446aa8fd2a9,training_args.bin,torch.save,upload int8 model.,"Lv, Kaokao",2022-08-30 05:25:59
saphvis/ngpx2022,d5011c5daf903087aa8d424c878cc82640611d1d,ngpx2022.pt,torch.save,ngpx2022 400000 upload,ocular degenerate,2022-08-29 21:26:46
recogna-nlp/ptt5-base-summ-cstnews,f19cd2be31b69c2ade92a3ad83bca1b59d927560,recogna-nlp/ptt5-base-summ-cstnews\model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (34c4e07bd463f552642ff0aac06bbcee47bbb7b9)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pedro Henrique Paiola,2023-03-21 23:42:48
recogna-nlp/ptt5-base-summ-cstnews,bd944d3c1525f4d1adff8855080b66adf768f460,recogna-nlp/ptt5-base-summ-cstnews\spiece.model,ONNX,Upload spiece.model,Pedro Henrique Paiola,2022-08-30 16:11:34
recogna-nlp/ptt5-base-summ-cstnews,1fd83933b31f54d76c5390285f67426a0a85c274,pytorch_model.bin,torch.save,Upload pytorch_model.bin,Pedro Henrique Paiola,2022-08-29 16:52:23
recogna-nlp/ptt5-base-summ-temario,5d2adb7176cab93a8994c35d7fb6ba0ffcd22638,recogna-nlp/ptt5-base-summ-temario\model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (8f0abb9de6c91724f23d957fbf505ba5f5ff337a)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pedro Henrique Paiola,2023-03-21 23:42:24
recogna-nlp/ptt5-base-summ-temario,fb64458c1aa099daf6a51aee52f27498529fa048,recogna-nlp/ptt5-base-summ-temario\spiece.model,ONNX,Upload spiece.model,Pedro Henrique Paiola,2022-08-30 16:07:47
recogna-nlp/ptt5-base-summ-temario,9defa1b6385a56dc229ed1298a085e398fca2e26,pytorch_model.bin,torch.save,Upload pytorch_model.bin,Pedro Henrique Paiola,2022-08-29 16:44:01
