repo_url,commit_hash,model_file_path,serialization_format,message,author,date,is_in_commit,elapsed_days,change_status
oxfldr/tst2,6f28344f14b0104bab53efa5eb49860439c50e6e,oxfldr/tst2/tst.safetensors,safetensors,Upload tst.safetensors,oxfldr,2024-12-30 13:36:41,True,829,+
VERSIL91/00488658-88ae-4408-83d8-d20bb8329c91,6fcc13d0950576a5e32201cef94826ef39203ee9,VERSIL91/00488658-88ae-4408-83d8-d20bb8329c91/last-checkpoint/adapter_model.safetensors,safetensors,"Training in progress, step 2, checkpoint",LYLLA,2024-12-29 00:17:27,True,828,+
VERSIL91/00488658-88ae-4408-83d8-d20bb8329c91,813feba3df3ff8841d9f1dc95daa73335a2ba392,VERSIL91/00488658-88ae-4408-83d8-d20bb8329c91/adapter_model.safetensors,safetensors,"Training in progress, step 2",LYLLA,2024-12-29 00:17:24,True,828,+
isspek/xlnet-base-cased_monkeypox_4_2e-5_16_undersampling_0.5,40958dd59731c9c698e8755c8d8b3d5b7b8a4103,isspek/xlnet-base-cased_monkeypox_4_2e-5_16_undersampling_0.5/model.safetensors,safetensors,Upload XLNetForSequenceClassification,Ipek Baris Schlicht,2024-12-28 12:00:37,True,827,+
VERSIL91/5b77b573-4804-4f96-9c37-44901b930be7,8e9afac4229a5a58f295ec222abfc6e8e878ce5d,VERSIL91/5b77b573-4804-4f96-9c37-44901b930be7/last-checkpoint/adapter_model.safetensors,safetensors,"Training in progress, step 2, checkpoint",LYLLA,2024-12-28 03:01:01,True,827,+
VERSIL91/5b77b573-4804-4f96-9c37-44901b930be7,2108baf41d2f8141f2c7710431605ea6ed084a65,VERSIL91/5b77b573-4804-4f96-9c37-44901b930be7/adapter_model.safetensors,safetensors,"Training in progress, step 2",LYLLA,2024-12-28 03:00:55,True,827,+
memevis/bimbim5,81b35da15a493c67d7cea578fc29a26b8bf85327,memevis/bimbim5/model-00001-of-00003.safetensors,safetensors,Upload LlamaForCausalLM,memevis,2024-12-27 14:21:28,True,826,+
memevis/bimbim5,81b35da15a493c67d7cea578fc29a26b8bf85327,memevis/bimbim5/model-00002-of-00003.safetensors,safetensors,Upload LlamaForCausalLM,memevis,2024-12-27 14:21:28,True,826,+
memevis/bimbim5,81b35da15a493c67d7cea578fc29a26b8bf85327,memevis/bimbim5/model-00003-of-00003.safetensors,safetensors,Upload LlamaForCausalLM,memevis,2024-12-27 14:21:28,True,826,+
akhooli/whisper-small-ar2,85547d0460659dbc2e9866d5f7e5460ec277c211,akhooli/whisper-small-ar2/model.safetensors,safetensors,"Training in progress, step 500",Abed Khooli,2024-12-26 07:21:59,True,825,+
dzanbek/9c0ba83d-7ad1-4ee2-9ce3-e505d153c9e6,ca593dbd98f89c0dd359dc4ace31de2516fb628b,dzanbek/9c0ba83d-7ad1-4ee2-9ce3-e505d153c9e6/last-checkpoint/adapter_model.safetensors,safetensors,"Training in progress, step 25, checkpoint",Dim DO,2024-12-25 11:26:07,True,824,+
dzanbek/9c0ba83d-7ad1-4ee2-9ce3-e505d153c9e6,09bddb4b45ed0a9775899b64ccb7bd954a4c1615,dzanbek/9c0ba83d-7ad1-4ee2-9ce3-e505d153c9e6/adapter_model.safetensors,safetensors,"Training in progress, step 25",Dim DO,2024-12-25 11:25:55,True,824,+
PrunaAI/ebrukilic-model-bnb-8bit-smashed,5020e8c5def11f5461804f060c8717c75996bf46,PrunaAI/ebrukilic-model-bnb-8bit-smashed/model-00001-of-00002.safetensors,safetensors,"Upload folder using huggingface_hub (#1)


- 119e0e7da35b49a27a6fa1a644ac48a7d2fad1d7690dff440cceecf1ed453dc7 (8fdabf59bad143ec99bdf636a6bfbd962635d195)
- 24aa45f1dbfacd320d4b333a499e49b9d44734626681f826055f77e1d5f502ea (c60095a1d512d045891b03ae9963d5e9c97eb452)
- 83185bac00cc212c0f6789ebdbb70ea4891b313857a1ca17ef413eb5ae961a65 (84f9d9735f3a7c6733d2b0c73c9a68db61e38e31)",Bertrand Charpentier,2024-12-24 10:30:37,True,823,+
PrunaAI/ebrukilic-model-bnb-8bit-smashed,5020e8c5def11f5461804f060c8717c75996bf46,PrunaAI/ebrukilic-model-bnb-8bit-smashed/model-00002-of-00002.safetensors,safetensors,"Upload folder using huggingface_hub (#1)


- 119e0e7da35b49a27a6fa1a644ac48a7d2fad1d7690dff440cceecf1ed453dc7 (8fdabf59bad143ec99bdf636a6bfbd962635d195)
- 24aa45f1dbfacd320d4b333a499e49b9d44734626681f826055f77e1d5f502ea (c60095a1d512d045891b03ae9963d5e9c97eb452)
- 83185bac00cc212c0f6789ebdbb70ea4891b313857a1ca17ef413eb5ae961a65 (84f9d9735f3a7c6733d2b0c73c9a68db61e38e31)",Bertrand Charpentier,2024-12-24 10:30:37,True,823,+
thangla01/3ba446b0-b898-42b5-8097-9d252351ea1e,57569875b39a5a57d672b9c5a6480d2e6ed4f203,thangla01/3ba446b0-b898-42b5-8097-9d252351ea1e/adapter_model.safetensors,safetensors,End of training,La,2024-12-21 18:34:03,True,820,+
diaenra/75cadedd-0e07-4403-aba5-811500315943,8a4c0605a587ac29b048d4cb658bbea9aeb24469,diaenra/75cadedd-0e07-4403-aba5-811500315943/last-checkpoint/adapter_model.safetensors,safetensors,"Training in progress, step 25, checkpoint",diaenra,2024-12-20 15:04:21,True,819,+
diaenra/75cadedd-0e07-4403-aba5-811500315943,b8ebafca0617c1e1162defb5f8df33d42a7868a0,diaenra/75cadedd-0e07-4403-aba5-811500315943/adapter_model.safetensors,safetensors,"Training in progress, step 25",diaenra,2024-12-20 15:04:14,True,819,+
dgambettavuw/M_gen5_run1_llama2-7b_wiki_doc1000_real64_synt64_vuw,60925261c8b1b1732de31302d550444d7e1dec09,dgambettavuw/M_gen5_run1_llama2-7b_wiki_doc1000_real64_synt64_vuw/adapter_model.safetensors,safetensors,"Upload model trained with Unsloth

Upload model trained with Unsloth 2x faster",Daniele Gambetta,2024-12-19 21:18:39,True,818,+
minggi777/Llama-3-8B-Instruct-bfloat16,c9a903820acb06c58c8e03d794e6efdd92933729,minggi777/Llama-3-8B-Instruct-bfloat16/model-00001-of-00004.safetensors,safetensors,Upload LlamaForCausalLM,MinGiKim,2024-12-19 06:10:24,True,818,+
minggi777/Llama-3-8B-Instruct-bfloat16,c9a903820acb06c58c8e03d794e6efdd92933729,minggi777/Llama-3-8B-Instruct-bfloat16/model-00002-of-00004.safetensors,safetensors,Upload LlamaForCausalLM,MinGiKim,2024-12-19 06:10:24,True,818,+
minggi777/Llama-3-8B-Instruct-bfloat16,c9a903820acb06c58c8e03d794e6efdd92933729,minggi777/Llama-3-8B-Instruct-bfloat16/model-00003-of-00004.safetensors,safetensors,Upload LlamaForCausalLM,MinGiKim,2024-12-19 06:10:24,True,818,+
minggi777/Llama-3-8B-Instruct-bfloat16,c9a903820acb06c58c8e03d794e6efdd92933729,minggi777/Llama-3-8B-Instruct-bfloat16/model-00004-of-00004.safetensors,safetensors,Upload LlamaForCausalLM,MinGiKim,2024-12-19 06:10:24,True,818,+
istominvi/rk2__150_4_16,75271098f2439302cef80e6dd1cc15d681d33da9,istominvi/rk2__150_4_16/lora.safetensors,safetensors,Upload folder using huggingface_hub,Vladimir,2024-12-18 15:13:24,True,817,+
dgambettavuw/M_gen5_run0_llama2-7b_wiki_doc1000_real64_synt64_vuw,7b96f1bb85d87d818bd813f22f3dc6f448580710,dgambettavuw/M_gen5_run0_llama2-7b_wiki_doc1000_real64_synt64_vuw/adapter_model.safetensors,safetensors,"Upload model trained with Unsloth

Upload model trained with Unsloth 2x faster",Daniele Gambetta,2024-12-18 08:02:34,True,817,+
bmehrba/Llama-2-13b-chat-hf_MedMCQA_v2_frequncy10_Seed2024-fine-tuned,9ff3a93c8f51ac60a312cf70dc7a6eabf65df73e,bmehrba/Llama-2-13b-chat-hf_MedMCQA_v2_frequncy10_Seed2024-fine-tuned/adapter_model.safetensors,safetensors,Upload model,Behzad Mehrbakhsh,2024-12-17 16:03:45,True,816,+
fahd200581/AIROBYAI,c49593f9e274ae2064a0db3c22774183c41bdefa,fahd200581/AIROBYAI/lora.safetensors,safetensors,Upload folder using huggingface_hub,fahd abdo,2024-12-15 08:53:56,True,814,+
ruchirsahni/tiny-nagpur-split,510cf5e81c3c9058df3cb67ff77f4bf9e4e0895e,ruchirsahni/tiny-nagpur-split/model.safetensors,safetensors,"Training in progress, step 500",Ruchir Sahni,2024-12-14 03:03:47,True,813,+
enesuio/ennurv6,73fde823a64d8fa867f34eba138e9711c6853d9a,enesuio/ennurv6/ennurv6-000004.safetensors,safetensors,Upload folder using huggingface_hub,Enes,2024-12-13 18:27:41,True,812,+
enesuio/ennurv6,73fde823a64d8fa867f34eba138e9711c6853d9a,enesuio/ennurv6/ennurv6-000008.safetensors,safetensors,Upload folder using huggingface_hub,Enes,2024-12-13 18:27:41,True,812,+
