repo_url,commit_hash,error
stanfordnlp/stanza-af,da8a6696c3ba0a3dbfa399e6b234faff111aa884,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-af/models/lemma/afribooms.pt'
stanfordnlp/stanza-af,7b6eb44fa837141d9a14ba565a6c9e68683f441d,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-af/models/pretrain/afribooms.pt'
speechbrain/slu-timers-and-such-direct-librispeech-asr,8fa5d45dafb79d2bd6f56a0a70ec6689e1d827da,[Errno 2] No such file or directory: 'tmp/speechbrain+slu-timers-and-such-direct-librispeech-asr/brain.ckpt'
speechbrain/asr-transformer-transformerlm-librispeech,4f5b13f894ba64cc36dc53e6c018a523e0a0a2f1,[Errno 2] No such file or directory: 'tmp/speechbrain+asr-transformer-transformerlm-librispeech/pretrained_models/asr-transformer-transformerlm-librispeech/asr.ckpt'
speechbrain/asr-transformer-transformerlm-librispeech,3fec198dc03f9bbaa5debc36dd04ef5f3cc99582,[Errno 2] No such file or directory: 'tmp/speechbrain+asr-transformer-transformerlm-librispeech/pretrained_models/asr-transformer-transformerlm-librispeech/asr.ckpt'
timpal0l/xlm-roberta-base-faq-extractor,bf0e0ebac6a6bd36ec039b9a1461033005cf0f8b,[Errno 2] No such file or directory: 'tmp/timpal0l+xlm-roberta-base-faq-extractor/pytorch_model.bin'
timpal0l/xlm-roberta-base-faq-extractor,2610889f017d9da983064d48ecdeb5bfe791b53d,[Errno 2] No such file or directory: 'tmp/timpal0l+xlm-roberta-base-faq-extractor/training_args.bin'
timpal0l/xlm-roberta-base-faq-extractor,7b89cc7816ddeda8fbc364c7d32e9e7b78f5e88f,[Errno 2] No such file or directory: 'tmp/timpal0l+xlm-roberta-base-faq-extractor/pytorch_model.bin'
stanfordnlp/stanza-en,526fe9dadb0ac8928e175df0940c2994d212706b,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/coref/ontonotes_roberta-large.pt'
stanfordnlp/stanza-en,a8e3f95ca4a9406f36aa94a9bbb92beec4c227f4,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/coref/ontonotes_roberta-large_finetune.pt'
stanfordnlp/stanza-en,1a72c7ef8a27b106719dd06d45a035d712f3912f,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/ner/conll03.pt'
stanfordnlp/stanza-en,848c3a313470b2c6e2c50c3a053a4168bac094de,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/constituency/ptb3_bert.pt'
stanfordnlp/stanza-en,0a477c74acf1e72e749ed0581cb3b0549fc0a3a5,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/depparse/atis.pt'
stanfordnlp/stanza-en,a6e41b1e7febfb6feeec067d269600ac318840fb,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/pos/atis.pt'
stanfordnlp/stanza-en,bcfa9ea9dc717b59fa70c8ca606a5aea5b62c920,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/lemma/combined.pt'
stanfordnlp/stanza-en,bfdd7ac4a9e7a0596e089eb510b3167830609aad,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/pretrain/combined.pt'
stanfordnlp/stanza-en,bc4a1147d81ee86bad04041d6e32ee72236686cb,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/pos/combined_bert.pt'
stanfordnlp/stanza-en,8542ede066d0c4b206c7b7b2790fdddd21cdde9a,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/pos/combined_bert.pt'
stanfordnlp/stanza-en,d14ef162749978a37fe91c09cef3adc8fa4bf5d7,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-en/models/constituency/wsj-inorder-bert.pt'
stanfordnlp/stanza-el,9836162b10378ee27295361ea5043aea0eb35d42,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-el/models/depparse/gdt.pt'
stanfordnlp/stanza-el,812f30ea2d9e49493084e29986538be84e1ab7b8,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-el/models/pos/gdt.pt'
stanfordnlp/stanza-el,85d3f1c450951bf893ee62fde62d20b7fba3ee03,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-el/models/lemma/gdt.pt'
stanfordnlp/stanza-de,87c8ae7133ed08a57f443fd4072e934c9cc954e2,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-de/models/depparse/gsd_bert.pt'
stanfordnlp/stanza-de,1cda07787fe8f502d09b48fad22ed7d81f42a9b3,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-de/models/depparse/gsd.pt'
stanfordnlp/stanza-de,3638fb56617c13321b03c2b95eadfbd8f56b4afb,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-de/models/pos/gsd.pt'
stanfordnlp/stanza-de,a635ed6bd15a901b0479f46b3807deeb5fb54b12,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-de/models/lemma/gsd.pt'
stanfordnlp/stanza-da,b1edbcc5871182c72673e3f8f7b622f5e9db7fa4,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-da/models/constituency/arboretum.pt'
stanfordnlp/stanza-da,981df1b630babc0ea7bcf788441b4c3745629817,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-da/models/depparse/ddt.pt'
stanfordnlp/stanza-da,34b9a59c38dffc321b56799639e3839b865aa47a,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-da/models/pos/ddt.pt'
stanfordnlp/stanza-da,366b65b0cff8853d024ce370e93694f61074efc8,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-da/models/lemma/ddt.pt'
kontur-ai/sbert_punc_case_ru,eab0c50e5b52ac6a4529d113266121df697ab876,[Errno 2] No such file or directory: 'tmp/kontur-ai+sbert_punc_case_ru/pytorch_model.bin'
