repo_url,commit_hash,model_file_path,serialization_format,,,
microsoft/resnet-50,34c2154c194f829b11125337b98c8f5f9965ff19,microsoft/resnet-50/model.safetensors,safetensors,,,
microsoft/resnet-50,f5104f67a0a8892c17fa776add3e55999dc67893,microsoft/resnet-50/tf_model.h5,h5/hdf5,,,
microsoft/resnet-50,03cc283e1c00250565ec255ddfdb92ac61376c8a,microsoft/resnet-50/pytorch_model.bin,torch.save,,,
microsoft/resnet-18,f45a6faa12e0381f5620c5c8d7e916bca90f2c44,microsoft/resnet-18/model.safetensors,safetensors,,,
microsoft/resnet-18,2f536bd335677c6b111b3d103af458ef57a6145e,microsoft/resnet-18/tf_model.h5,h5/hdf5,,,
microsoft/resnet-18,e32f4f8ec69beca53a7ef46172b32363b480a335,microsoft/resnet-18/pytorch_model.bin,torch.save,,,
pritamdeka/BioBert-PubMed200kRCT,73ac04efdc8a89e33c98950dedb72a523a7627eb,pritamdeka/BioBert-PubMed200kRCT/model.safetensors,safetensors,,,
pritamdeka/BioBert-PubMed200kRCT,25403852e28c13213ca956c799898f633f96420f,pritamdeka/BioBert-PubMed200kRCT/pytorch_model.bin,torch.save,,,
pritamdeka/BioBert-PubMed200kRCT,25403852e28c13213ca956c799898f633f96420f,pritamdeka/BioBert-PubMed200kRCT/training_args.bin,torch.save,,,
KoichiYasuoka/bert-base-russian-upos,6eb64fdbc50ed6c3473829d7a76c711ce4305c8d,KoichiYasuoka/bert-base-russian-upos/pytorch_model.bin,torch.save,,,
KoichiYasuoka/bert-base-russian-upos,6eb64fdbc50ed6c3473829d7a76c711ce4305c8d,KoichiYasuoka/bert-base-russian-upos/supar.model,torch.save,,,
ctheodoris/Geneformer,63275a8771eae5ea5393f374713d678a5c935d1b,ctheodoris/Geneformer/geneformer/gene_dictionaries_30m/ensembl_mapping_dict_gc30M.pkl,pickle,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/fine_tuned_models/gf-12L-95M-i4096_MTLCellClassifier_CELLxGENE_240522/pytorch_model.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/fine_tuned_models/gf-6L-30M-i2048_CellClassifier_cardiomyopathies_220224/optimizer.pt,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/fine_tuned_models/gf-6L-30M-i2048_CellClassifier_cardiomyopathies_220224/pytorch_model.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/fine_tuned_models/gf-6L-30M-i2048_CellClassifier_cardiomyopathies_220224/rng_state.pth,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/fine_tuned_models/gf-6L-30M-i2048_CellClassifier_cardiomyopathies_220224/scheduler.pt,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/fine_tuned_models/gf-6L-30M-i2048_CellClassifier_cardiomyopathies_220224/training_args.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/geneformer/gene_dictionaries_30m/gene_median_dictionary_gc30M.pkl,pickle,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/geneformer/gene_dictionaries_30m/gene_name_id_dict_gc30M.pkl,pickle,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/geneformer/gene_dictionaries_30m/token_dictionary_gc30M.pkl,pickle,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/geneformer/token_dictionary_gc95M.pkl,pickle,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-12L-30M-i2048/pytorch_model.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-12L-30M-i2048/training_args.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-12L-95M-i4096/model.safetensors,safetensors,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-12L-95M-i4096/training_args.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-12L-95M-i4096_CLcancer/model.safetensors,safetensors,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-12L-95M-i4096_CLcancer/training_args.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-20L-95M-i4096/model.safetensors,safetensors,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-20L-95M-i4096/training_args.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-6L-30M-i2048/model.safetensors,safetensors,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-6L-30M-i2048/pytorch_model.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/gf-6L-30M-i2048/training_args.bin,torch.save,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/model.safetensors,safetensors,,,
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,ctheodoris/Geneformer/training_args.bin,torch.save,,,
ctheodoris/Geneformer,ec19834345a43617abfd51669c7c3cc7e0aecaba,ctheodoris/Geneformer/geneformer/gene_name_id_dict_gc95M.pkl,pickle,,,
ctheodoris/Geneformer,e61485ee0359f483a0b3c4b0e88db9987eac2fc7,ctheodoris/Geneformer/geneformer/gene_name_id_dict_gc95m.pkl,pickle,,,
ctheodoris/Geneformer,1e18102f350bef1487e38952ebf553b576a278aa,ctheodoris/Geneformer/geneformer/ensembl_mapping_dict_gc95M.pkl,pickle,,,
ctheodoris/Geneformer,1e18102f350bef1487e38952ebf553b576a278aa,ctheodoris/Geneformer/geneformer/gene_median_dictionary_gc95M.pkl,pickle,,,
ctheodoris/Geneformer,1e18102f350bef1487e38952ebf553b576a278aa,ctheodoris/Geneformer/geneformer/gene_name_id_dict_gc95M.pkl,pickle,,,
ctheodoris/Geneformer,1e18102f350bef1487e38952ebf553b576a278aa,ctheodoris/Geneformer/geneformer/token_dictionary_gc95M.pkl,pickle,,,
dangvantuan/sentence-camembert-base,5b379ad5d08d2d0882b09ee3729e082da401db4a,dangvantuan/sentence-camembert-base/pytorch_model.bin,torch.save,,,
dangvantuan/sentence-camembert-base,5b379ad5d08d2d0882b09ee3729e082da401db4a,dangvantuan/sentence-camembert-base/sentencepiece.bpe.model,ONNX,,,
TahaDouaji/detr-doc-table-detection,f0cf3abdc39f8e61c059b3f54b1b55596c7a9460,TahaDouaji/detr-doc-table-detection/model.safetensors,safetensors,,,
TahaDouaji/detr-doc-table-detection,67780c1aa0121ede61866a7df5ca70758c0122cd,TahaDouaji/detr-doc-table-detection/pytorch_model.bin,torch.save,,,
KoichiYasuoka/bert-large-german-upos,fb195ef67fc49d3805dfdeb30df81e6cfcf208d9,KoichiYasuoka/bert-large-german-upos/pytorch_model.bin,torch.save,,,
KoichiYasuoka/bert-large-german-upos,fb195ef67fc49d3805dfdeb30df81e6cfcf208d9,KoichiYasuoka/bert-large-german-upos/supar.model,torch.save,,,
KoichiYasuoka/bert-base-german-upos,db200553b2ac186e9809fbc9d80bf0261f4de684,KoichiYasuoka/bert-base-german-upos/pytorch_model.bin,torch.save,,,
KoichiYasuoka/bert-base-german-upos,db200553b2ac186e9809fbc9d80bf0261f4de684,KoichiYasuoka/bert-base-german-upos/supar.model,torch.save,,,
KoichiYasuoka/bert-base-german-upos,0a15e284a643414729c515ddc0bb5caef5078892,KoichiYasuoka/bert-base-german-upos/pytorch_model.bin,torch.save,,,
KoichiYasuoka/bert-base-german-upos,0a15e284a643414729c515ddc0bb5caef5078892,KoichiYasuoka/bert-base-german-upos/supar.model,torch.save,,,
AiLab-IMCS-UL/lvbert,79c5ec4db222392bbfa09d9455d3f71e1cd7f69d,AiLab-IMCS-UL/lvbert/model.safetensors,safetensors,,,
AiLab-IMCS-UL/lvbert,55143d593cef601c7ede57ae2a86e637f4661b17,AiLab-IMCS-UL/lvbert/pytorch_model.bin,torch.save,,,
microsoft/tapex-large-finetuned-wtq,e7073dd4c5fcf2fe92c4c660c953575d6de2d1a6,microsoft/tapex-large-finetuned-wtq/model.safetensors,safetensors,,,
microsoft/tapex-large-finetuned-wtq,d6d3a7bde97670c6af93694e6833fba2d39dcea1,microsoft/tapex-large-finetuned-wtq/pytorch_model.bin,torch.save,,,
KoichiYasuoka/roberta-base-ukrainian-upos,d4b2510f9b434a2c1575ec30d75a50fb2ec5902b,KoichiYasuoka/roberta-base-ukrainian-upos/pytorch_model.bin,torch.save,,,
KoichiYasuoka/roberta-base-ukrainian-upos,d4b2510f9b434a2c1575ec30d75a50fb2ec5902b,KoichiYasuoka/roberta-base-ukrainian-upos/supar.model,torch.save,,,
KoichiYasuoka/roberta-base-ukrainian-upos,c5aae34a1b311ac63e55912283bc94a6d2abfc6c,KoichiYasuoka/roberta-base-ukrainian-upos/pytorch_model.bin,torch.save,,,
KoichiYasuoka/roberta-base-ukrainian-upos,c5aae34a1b311ac63e55912283bc94a6d2abfc6c,KoichiYasuoka/roberta-base-ukrainian-upos/supar.model,torch.save,,,
