repo_url,commit_hash,error
KoichiYasuoka/roberta-base-thai-syllable-upos,f1594380a95f7438392dc2b731b8c3218d581c39,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout f1594380a95f7438392dc2b731b8c3218d581c39
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
	supar.model
Please commit your changes or stash them before you switch branches.
Aborting'"
KoichiYasuoka/roberta-base-thai-syllable-upos,3d73a7cae725e28927f9dc76a01693aa83eb6849,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 3d73a7cae725e28927f9dc76a01693aa83eb6849
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
	supar.model
Please commit your changes or stash them before you switch branches.
Aborting'"
KoichiYasuoka/roberta-base-thai-syllable-upos,105c50722ba1390f3ae578a1791be2a5b6fb3cb3,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 105c50722ba1390f3ae578a1791be2a5b6fb3cb3
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
	supar.model
Please commit your changes or stash them before you switch branches.
Aborting'"
KoichiYasuoka/roberta-base-thai-syllable-upos,97a10b588062861bb0bcd79d7cfb8daa03cca157,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 97a10b588062861bb0bcd79d7cfb8daa03cca157
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
	supar.model
Please commit your changes or stash them before you switch branches.
Aborting'"
KoichiYasuoka/roberta-base-thai-syllable-upos,4587d90aa1e85d599ca5bb94ac94704fd3d567d0,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 4587d90aa1e85d599ca5bb94ac94704fd3d567d0
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
	supar.model
Please commit your changes or stash them before you switch branches.
Aborting'"
KoichiYasuoka/roberta-base-thai-spm-upos,a54c8dd5d02732cfa6ae0cc231798b38e9bd1fbc,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:KoichiYasuoka/roberta-base-thai-spm-upos tmp/KoichiYasuoka+roberta-base-thai-spm-upos
  stderr: 'Cloning into 'tmp/KoichiYasuoka+roberta-base-thai-spm-upos'...
Downloading pytorch_model.bin (352 MB)
Error downloading object: pytorch_model.bin (26ee014): Smudge error: Error downloading pytorch_model.bin (26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6993180693"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6993180693: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/logs/20241023T133321.137282431.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: pytorch_model.bin: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
KoichiYasuoka/roberta-base-thai-spm-upos,ea1028540e0a08dc89b17db99c99cab7a5c85236,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:KoichiYasuoka/roberta-base-thai-spm-upos tmp/KoichiYasuoka+roberta-base-thai-spm-upos
  stderr: 'Cloning into 'tmp/KoichiYasuoka+roberta-base-thai-spm-upos'...
Downloading pytorch_model.bin (352 MB)
Error downloading object: pytorch_model.bin (26ee014): Smudge error: Error downloading pytorch_model.bin (26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d62587735362"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d62587735362: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/logs/20241023T133327.143189629.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: pytorch_model.bin: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
KoichiYasuoka/roberta-base-thai-spm-upos,4861a267cefa3dc5848440ef24a608cf3e1e7752,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:KoichiYasuoka/roberta-base-thai-spm-upos tmp/KoichiYasuoka+roberta-base-thai-spm-upos
  stderr: 'Cloning into 'tmp/KoichiYasuoka+roberta-base-thai-spm-upos'...
Downloading pytorch_model.bin (352 MB)
Error downloading object: pytorch_model.bin (26ee014): Smudge error: Error downloading pytorch_model.bin (26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d63404010361"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d63404010361: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/logs/20241023T133333.611641739.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: pytorch_model.bin: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
KoichiYasuoka/roberta-base-thai-spm-upos,c7d621d5ca774b438a464aaef15fba17f1a91a02,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:KoichiYasuoka/roberta-base-thai-spm-upos tmp/KoichiYasuoka+roberta-base-thai-spm-upos
  stderr: 'Cloning into 'tmp/KoichiYasuoka+roberta-base-thai-spm-upos'...
Downloading pytorch_model.bin (352 MB)
Error downloading object: pytorch_model.bin (26ee014): Smudge error: Error downloading pytorch_model.bin (26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6865793336"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6865793336: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/logs/20241023T133340.355750185.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: pytorch_model.bin: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
KoichiYasuoka/roberta-base-thai-spm-upos,3dfeb1f97517049ecaa05c8199860330ade3bc2f,"Cmd('git') failed due to: exit code(128)
  cmdline: git clone -v -- git@hf.co:KoichiYasuoka/roberta-base-thai-spm-upos tmp/KoichiYasuoka+roberta-base-thai-spm-upos
  stderr: 'Cloning into 'tmp/KoichiYasuoka+roberta-base-thai-spm-upos'...
Downloading pytorch_model.bin (352 MB)
Error downloading object: pytorch_model.bin (26ee014): Smudge error: Error downloading pytorch_model.bin (26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6): can't close temporary file ""/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6996428007"": close /afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/incomplete/26ee014ba49b470fdd104016b44f877bd401b565770bd685778c5a5095f753d6996428007: disk quota exceeded

Errors logged to '/afs/crc.nd.edu/user/a/acotaj/wip-model-evolution/scripts/tmp/KoichiYasuoka+roberta-base-thai-spm-upos/.git/lfs/logs/20241023T133346.533621893.log'.
Use `git lfs logs last` to view the log.
error: external filter 'git-lfs filter-process' failed
fatal: pytorch_model.bin: smudge filter lfs failed
warning: Clone succeeded, but checkout failed.
You can inspect what was checked out with 'git status'
and retry with 'git restore --source=HEAD :/'

'"
