Number of PRs collected from SFConvertBot Community Activity,46327.0
Number of PRs after removing missing values,45737.0
Number of PRs after removing invalid JSONs,45737.0
Number of PRs after filtering by date,45503.0
Number of PRs after filtering by URL,45501.0
Number of repositories,36694.0
Average number of PRs per repository,1.2400119910612089
First commit time,2022-11-07T13:00:55.000Z
Last commit time,2024-10-31T23:47:55.000Z
Number of PRs made by HF staff,410
Number of PRs made by non-HF staff,45091
