repo_url,commit_hash,model_file_path,serialization_format,message,author,date,is_in_commit,elapsed_days,change_status
suresh-subramanian/beans-classification,62b510bc4a461c7005f1bc3c24aa8cc8453bca9b,suresh-subramanian/beans-classification/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (6149f99782a65c154cdfce14b41459588d1140e7)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Suresh Subramanian,2024-12-07 07:55:42,True,807,+
openai/whisper-tiny,aaf41dd3aafcff61dad6f603d5de0ce1317324dc,openai/whisper-tiny/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#14)


- Adding `safetensors` variant of this model (978a459c6c1fc7892bedc3bb481ac8fd61033b0e)


Co-authored-by: Nicolas Patry <Narsil@users.noreply.huggingface.co>",Sanchit Gandhi,2023-07-26 09:32:15,True,307,+
openai/whisper-base,55ccf2b09f9d7e17dd2c9e675b2172c567441e97,openai/whisper-base/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#22)


- Adding `safetensors` variant of this model (15ec5e35b3b840df9eb2a22a2cea891bfd3ef763)


Co-authored-by: Nicolas Patry <Narsil@users.noreply.huggingface.co>",Sanchit Gandhi,2023-08-23 10:46:10,True,335,+
openai/whisper-small,1450e6367562909b8ddef076449756ea977649d1,openai/whisper-small/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#30)


- Adding `safetensors` variant of this model (3b23e4eeeced745eaf0123aa52f1dd4dd27dff54)


Co-authored-by: Nicolas Patry <Narsil@users.noreply.huggingface.co>",Sanchit Gandhi,2023-08-11 12:33:08,True,323,+
openai/whisper-medium,7c172ed8ef01845bfabe7c1c2cca8ebdcf78b4fe,openai/whisper-medium/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#21)


- Adding `safetensors` variant of this model (47bf24d94ab480c7bee35d383e8f04882e1aaff7)


Co-authored-by: Nicolas Patry <Narsil@users.noreply.huggingface.co>",Sanchit Gandhi,2023-08-11 12:33:10,True,323,+
openai/whisper-large,bc7ea1884eb549729fc15a46ac7de5d7417d97d2,openai/whisper-large/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#36)


- Adding `safetensors` variant of this model (eb829a73d013662a73e75157bf104a2b2ed58d75)


Co-authored-by: Nicolas Patry <Narsil@users.noreply.huggingface.co>",Sanchit Gandhi,2023-08-23 10:45:52,True,335,+
openai/whisper-tiny.en,60c8e2222f9c090f473c11c73926baf0a56ed3f9,openai/whisper-tiny.en/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#21)


- Adding `safetensors` variant of this model (acfaaeb1e51111b2b750ab344c09324387b697a8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Sanchit Gandhi,2023-09-11 09:24:06,True,354,+
openai/whisper-base.en,564c17ed4bb1f80f617187786681738742063f1a,openai/whisper-base.en/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (aba9b9f0008cfab6a230a1f18b7f5102c4d67614)


Co-authored-by: Nicolas Patry <Narsil@users.noreply.huggingface.co>",Sanchit Gandhi,2023-08-23 10:46:55,True,335,+
openai/whisper-small.en,59db474ae2d20d1c8f22fba5bbc08ab033168631,openai/whisper-small.en/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#12)


- Adding `safetensors` variant of this model (063ae150f77c67dcbd3d4a710130a6ef361dca44)


Co-authored-by: Nicolas Patry <Narsil@users.noreply.huggingface.co>",Sanchit Gandhi,2023-08-23 10:46:25,True,335,+
openai/whisper-medium.en,b108f11a88398f3368da9bb1caea0476876a0fc5,openai/whisper-medium.en/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#11)


- Adding `safetensors` variant of this model (363c110a7fe5682b70b65adf501045d72961b815)


Co-authored-by: Nicolas Patry <Narsil@users.noreply.huggingface.co>",Sanchit Gandhi,2023-08-11 12:33:07,True,323,+
